Overall
64
55
64
75
69
67
68
75
72
69
74
71
64
76
64
78
74
69
75
76
67
69
75
69
76
65
73
74
71
73
73
68
70
85
58
71
89
76
71
67
74
71
79
77
80
73
83
69
66
73
62
73
69
60
81
81
78
76
80
70
72
71
82
69
88
72
78
69
56
69
73
57
84
79
63
66
53
72
74
71
74
67
74
59
79
65
68
74
65
74
72
76
70
75
72
71
70
69
72
67
76
72
75
75
69
75
72
82
72
67
82
65
81
77
78
70
68
72
75
80
65
70
69
71
67
60
64
70
83
64
75
72
74
77
70
77
69
94
77
71
61
73
75
62
67
82
72
70
76
80
74
60
71
74
70
63
74
58
65
72
68
67
73
75
86
70
74
74
81
77
70
78
70
72
62
78
75
80
84
87
62
66
75
72
78
61
72
78
54
83
78
63
70
74
75
62
72
63
62
69
56
72
80
64
76
73
63
75
73
71
73
77
70
65
73
81
78
63
74
67
76
79
71
62
75
76
57
62
69
81
60
76
68
73
63
67
73
68
65
80
76
76
73
71
76
75
69
63
73
74
90
74
60
69
74
71
67
68
62
67
86
71
74
77
82
64
74
83
76
60
72
71
65
61
65
70
73
86
75
81
71
61
73
75
72
62
67
69
71
69
81
62
73
65
73
74
72
69
82
76
62
72
63
72
80
68
61
77
80
65
61
73
77
77
74
67
77
72
66
70
79
68
70
76
64
71
79
75
76
72
62
73
63
83
75
60
68
77
70
74
71
77
65
74
61
71
74
72
68
64
86
72
63
75
72
71
69
70
82
72
66
81
73
80
72
76
63
65
70
81
74
82
71
65
64
61
72
80
62
77
74
74
69
72
67
93
77
76
85
68
67
60
82
72
73
75
79
76
66
80
92
73
59
78
74
65
77
72
66
79
72
72
82
59
73
67
74
63
81
82
82
63
83
67
70
78
76
72
77
65
68
68
69
71
70
73
72
66
72
77
76
84
77
82
78
60
74
69
73
80
73
72
60
66
68
61
83
70
64
71
70
83
72
69
66
75
72
73
71
69
74
92
73
79
77
75
81
76
73
79
63
79
65
75
63
82
70
72
77
75
74
73
79
79
70
60
71
70
69
67
59
77
79
88
69
69
74
71
66
63
88
61
74
71
75
64
63
71
66
82
72
78
77
60
67
62
66
76
91
75
70
77
70
76
70
70
86
66
71
70
73
77
61
77
72
67
75
64
70
76
70
80
80
70
76
72
69
81
67
76
72
79
76
63
70
75
72
61
69
66
80
89
75
77
73
76
69
68
77
59
73
61
60
78
81
68
74
74
69
68
77
70
72
65
77
67
68
81
68
76
72
72
75
73
68
70
73
78
80
68
66
63
86
73
82
60
70
72
71
72
72
78
79
69
80
80
80
71
65
77
70
68
81
69
79
67
82
81
72
71
71
72
76
66
71
74
65
70
69
64
76
77
72
88
