Overall
61
70
70
73
70
77
75
70
68
66
72
60
49
59
67
62
72
72
75
74
56
64
75
66
76
62
74
70
74
80
68
68
82
59
70
61
72
76
64
68
51
59
83
66
64
81
66
80
69
77
82
71
78
62
80
68
78
70
82
85
76
73
60
70
68
64
65
80
81
75
71
68
66
78
82
76
72
70
62
64
69
61
74
85
70
73
90
74
79
73
74
71
53
70
70
77
66
77
83
74
67
62
60
63
72
72
67
70
82
62
78
72
72
57
71
70
80
55
74
66
59
60
63
76
58
77
63
52
65
74
83
72
89
82
65
62
61
72
88
59
75
59
68
67
69
64
81
64
67
88
68
74
81
65
77
77
65
69
72
68
68
66
82
71
74
70
72
75
68
55
77
72
83
66
61
62
71
70
75
83
75
69
81
85
80
78
73
61
74
70
73
59
54
66
80
64
66
63
74
81
68
64
64
75
67
70
92
85
68
63
62
69
78
76
75
69
55
68
72
79
66
69
73
83
68
72
75
66
74
67
79
48
81
71
73
68
74
69
68
71
80
70
68
73
56
66
82
82
65
66
69
78
69
69
70
76
86
70
65
63
62
70
69
84
75
66
73
74
79
59
79
64
84
77
79
72
75
67
70
82
67
79
72
87
72
60
67
77
84
82
80
62
81
65
67
70
60
75
73
79
85
69
81
71
66
63
75
71
89
72
71
76
74
69
77
84
61
54
74
81
65
72
64
72
67
49
73
80
71
74
71
74
79
82
83
71
79
75
68
