age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
25,62,57,66,61,34,35,65,11,5,8,14,20,0,1,1,1,0,2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,50,54,55,83,31,26,83,7,15,50,20,14,1,0,6,1,0,5,0,0,32,0,60,22,4,0,1,6,1,0,5,0,0,24,1,0,0,0,0,0,0,1,0,0,0,0
28,61,59,64,65,55,45,63,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,30,0,1,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
39,58,66,52,74,30,25,74,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,35,22,43,53,23,28,52,6,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,67,67,65,82,26,40,82,14,9,85,27,3,1,1,9,5,0,1,0,0,27,0,85,33,3,0,0,10,9,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0
31,59,48,58,72,55,50,71,13,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,58,56,60,66,32,32,68,11,6,0,1,15,0,0,0,0,0,0,0,0,3,0,41,13,22,0,0,2,6,0,3,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0
23,49,30,42,59,30,33,64,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,70,66,73,71,61,53,73,9,12,16,11,19,0,0,1,2,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,72,57,73,59,75,66,62,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,17,2,1,0,1,0,3,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0
22,64,67,59,67,55,38,62,14,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,53,49,50,69,31,37,73,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,81,71,81,82,70,70,78,7,5,117,25,11,3,4,12,5,0,0,0,0,20,0,92,15,20,2,3,9,6,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0
23,74,75,65,69,32,53,67,6,8,29,13,8,0,1,3,1,0,1,0,0,25,0,14,7,11,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0
31,75,63,63,72,53,48,76,8,13,52,19,10,2,1,4,10,0,0,0,0,30,1,33,15,0,1,0,5,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0
23,62,52,63,73,25,26,74,12,10,70,27,3,4,0,7,1,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,68,62,62,69,54,54,72,6,12,30,17,1,0,0,4,2,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,59,55,56,60,34,33,73,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,9,1,0,3,11,0,6,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0
29,65,64,72,75,51,54,77,8,14,60,29,7,0,2,4,8,0,3,0,0,43,0,76,29,9,0,1,9,8,0,9,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0
21,70,55,71,72,60,56,72,15,12,63,12,13,0,5,6,0,0,2,0,0,12,0,36,9,9,3,2,2,3,0,2,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0
24,68,58,70,66,63,62,59,13,16,15,5,7,1,0,1,2,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,63,40,65,62,50,40,61,7,7,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,63,65,65,66,56,56,74,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,3,3,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1
30,73,65,73,76,57,57,73,8,9,50,17,8,0,2,4,5,0,4,0,0,27,0,9,7,2,0,0,2,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0
25,74,72,68,78,59,66,69,12,15,22,12,11,0,0,2,4,0,4,0,0,29,0,36,11,22,0,0,5,5,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0
24,68,66,66,71,59,49,75,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8,0,0,1,1,0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0
21,52,49,43,51,37,31,53,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,65,65,65,92,28,62,90,2,4,77,16,15,0,0,9,2,0,3,0,0,12,0,135,31,4,1,0,18,2,0,2,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0
32,49,49,49,70,30,29,69,9,6,-1,12,12,0,0,0,8,0,6,0,0,32,0,3,2,6,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
23,75,68,75,73,73,63,68,13,10,140,31,4,8,5,11,12,0,8,0,0,37,0,36,10,19,2,0,2,2,0,5,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0
31,58,54,62,78,35,34,76,9,13,65,25,5,2,1,7,6,0,3,0,0,39,1,80,23,6,1,0,10,4,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0
22,32,30,20,20,12,32,20,63,64,22,9,24,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
