age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
32,40,24,21,11,7,30,12,69,69,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
26,36,35,23,20,14,34,11,69,76,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,34,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
34,36,23,20,19,13,45,12,57,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,30,34,21,18,12,33,20,73,84,6,5,33,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,37,28,25,22,11,45,10,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,36,34,20,25,10,34,11,80,80,81,35,2,0,0,10,1,0,0,0,0,53,0,72,35,0,0,0,9,1,0,1,0,0,59,0,0,0,0,0,0,0,1,0,0,0,0
30,33,34,15,25,12,49,11,84,87,99,31,0,0,0,11,0,0,0,2,0,37,0,127,38,0,0,0,16,3,0,0,1,0,37,0,0,0,1,0,0,0,0,0,0,0,0
29,28,34,18,16,6,43,20,67,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,37,28,17,23,11,55,10,78,83,10,9,0,0,0,0,0,0,0,0,0,17,0,95,36,0,0,0,9,5,0,0,1,0,40,0,0,0,1,0,0,0,0,0,0,0,0
23,23,27,19,21,15,51,20,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,28,18,26,24,13,21,11,64,63,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,24,20,13,9,7,41,5,66,67,6,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,33,33,22,14,8,29,13,73,78,17,5,25,0,0,2,0,0,0,0,0,4,0,1,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
29,13,16,15,6,4,23,7,70,76,45,15,23,0,0,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,32,31,23,15,13,44,11,91,88,127,36,0,0,0,16,1,0,0,0,0,28,0,51,23,1,0,0,5,1,2,0,1,0,31,0,0,1,0,0,0,0,0,0,0,0,0
21,25,28,22,14,9,27,15,70,72,64,32,4,0,0,9,0,0,0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,23,33,21,25,15,22,13,69,71,29,13,12,0,0,3,1,0,0,0,0,18,0,1,1,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
