age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
27,68,62,72,28,70,59,18,16,11,59,15,18,2,3,0,4,0,14,0,0,0,0,66,21,8,3,1,0,1,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,58,40,69,24,70,59,18,6,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,61,50,65,28,73,55,24,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,79,59,84,40,87,74,23,6,6,200,28,3,28,3,0,3,0,7,0,2,0,0,175,34,0,21,3,0,5,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
19,60,47,54,16,49,58,21,14,8,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,65,40,68,29,72,52,16,12,9,39,5,24,3,0,0,2,0,2,0,0,0,0,25,4,30,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,81,73,87,42,86,83,30,10,13,219,36,2,24,11,0,6,0,8,0,1,0,0,137,28,2,13,5,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,68,58,79,15,70,65,23,9,7,82,29,5,3,3,0,1,1,12,0,0,0,0,21,1,21,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,66,56,72,22,63,57,14,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,67,63,73,31,64,58,38,13,11,16,6,8,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
