age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
24,64,52,76,24,75,66,20,12,14,37,7,25,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,73,69,81,51,70,68,34,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,68,66,63,61,56,60,57,9,13,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,51,43,59,59,47,44,59,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,61,55,68,43,61,61,31,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,76,70,77,37,80,77,40,15,15,105,22,3,11,2,0,1,0,12,0,1,0,0,77,17,2,6,4,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,68,64,73,61,71,70,33,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,80,81,79,65,65,82,53,15,13,48,20,13,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,74,72,76,68,68,68,58,6,8,25,4,34,1,0,0,2,0,3,0,0,0,0,21,13,15,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,59,60,74,23,70,61,23,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,72,72,68,40,52,64,48,11,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,77,77,80,70,72,75,54,5,5,39,13,10,1,1,0,3,0,4,0,0,0,0,21,14,3,0,0,0,4,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,66,66,68,65,62,55,62,12,7,58,30,3,1,1,0,11,0,4,0,0,0,0,45,24,10,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,77,74,74,58,62,71,59,8,7,5,1,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,71,69,67,79,56,70,70,10,13,18,6,17,1,0,0,1,0,1,0,0,0,0,52,20,18,2,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,82,72,87,40,81,85,24,11,6,178,37,0,16,10,0,6,0,19,0,0,0,0,116,33,1,7,7,0,4,1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,78,74,80,28,76,73,34,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,65,64,66,43,52,62,32,7,14,25,9,12,1,0,0,2,0,7,0,0,0,0,34,11,19,0,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,80,71,80,55,71,80,26,11,10,35,7,20,0,2,0,2,0,6,0,0,0,0,84,24,12,3,5,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,53,40,52,70,24,47,65,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,66,64,66,55,62,60,57,10,8,6,3,13,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,82,75,84,77,82,75,73,8,10,26,8,1,0,4,0,3,0,3,0,0,0,0,104,31,3,7,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,67,66,66,70,59,64,41,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,42,14,21,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,70,68,70,70,70,69,60,8,8,27,4,32,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,65,53,75,20,65,60,15,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,72,70,77,14,70,72,20,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,75,62,79,58,74,65,52,6,10,82,22,8,6,2,0,4,0,5,0,0,0,0,35,5,11,3,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,75,67,80,41,71,68,24,14,9,1,0,8,0,0,0,0,0,0,0,0,0,0,62,14,18,4,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,68,58,73,65,71,66,64,16,13,71,22,8,1,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,80,74,73,65,62,72,69,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,75,76,69,62,69,80,48,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,78,73,82,51,74,72,52,9,9,75,16,17,2,7,0,1,0,11,0,0,0,0,36,9,14,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,62,54,69,17,60,56,19,13,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,64,59,69,75,55,55,72,7,11,41,21,2,1,0,0,2,2,1,0,0,0,0,30,19,1,0,0,0,6,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,69,54,77,50,85,77,30,6,9,62,15,8,5,2,0,1,0,7,0,2,0,0,100,19,1,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,73,72,69,43,61,66,37,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,74,63,74,28,75,76,33,8,6,95,24,5,8,2,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,70,67,63,75,60,63,67,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23,0,2,1,0,10,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,67,68,72,72,54,53,65,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22,8,0,2,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,64,62,65,63,55,50,67,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,75,72,77,43,69,76,22,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,24,1,4,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,62,55,73,24,63,60,24,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,71,64,66,72,62,68,74,6,8,47,26,2,0,0,0,5,0,4,0,0,0,0,34,15,20,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,61,51,65,23,63,51,32,16,9,13,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,62,58,62,21,58,62,32,13,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,79,74,77,78,68,67,68,8,8,35,14,9,1,0,0,4,0,3,0,0,0,0,78,27,9,1,6,0,5,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,76,70,74,80,46,61,75,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,72,34,0,2,0,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,74,70,73,70,62,73,63,13,12,47,20,7,1,0,0,5,0,9,0,0,0,0,43,18,10,1,1,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,80,76,78,86,78,79,76,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,89,32,4,3,4,0,5,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,76,72,75,48,69,73,52,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,63,25,11,2,0,0,4,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,71,65,72,74,61,61,75,13,7,96,29,4,7,1,0,2,0,8,0,0,0,0,32,8,17,0,2,0,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,71,68,66,57,52,58,63,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,6,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,49,42,58,72,48,44,74,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,82,76,80,76,54,78,60,14,11,27,10,26,0,0,0,1,0,2,0,0,0,0,57,31,3,0,1,0,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,72,66,57,45,56,48,42,13,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,75,74,75,29,63,68,29,13,6,54,23,11,1,1,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,65,59,63,73,56,60,70,16,12,38,16,16,1,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,68,58,67,69,62,63,69,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,11,0,1,0,4,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,86,80,86,86,78,84,80,12,8,75,27,7,1,6,0,6,0,5,0,0,0,0,61,17,15,3,2,0,4,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,84,83,80,76,77,83,65,9,8,62,17,17,3,1,0,3,0,12,0,0,0,0,66,27,3,2,3,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,68,65,68,27,62,57,37,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,71,54,64,50,77,70,46,14,11,63,19,15,3,1,0,3,0,9,0,1,0,0,64,7,10,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,70,68,74,73,69,70,77,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,13,0,1,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,71,66,71,75,68,66,49,14,14,55,23,15,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,61,57,65,44,56,55,33,7,13,4,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,80,76,79,70,76,76,60,8,9,26,9,13,1,0,0,3,0,6,0,0,0,0,50,21,6,1,1,0,6,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,62,52,62,20,56,46,27,8,9,35,7,25,2,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,67,61,65,56,48,63,58,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
